,Core,R1,R2
111,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,Fc1cccc([*:2])c1
112,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,COc1ccccc1[*:2]
113,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,Clc1ccccc1[*:2]
114,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,Fc1ccccc1[*:2]
115,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,CCOc1ccccc1[*:2]
116,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,OCc1ccc([*:2])cc1
117,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,CCCc1ccc([*:2])cc1
118,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,CCc1ccc([*:2])cc1
119,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,Fc1cc([*:2])ccc1OCc1ccccc1
120,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,c1ccc(Oc2ccccc2[*:2])cc1
121,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,Cc1cccc(C)c1[*:2]
122,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,c1cc2c(cc1[*:2])OCO2
123,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,COc1ccc([*:2])c(OC)c1
124,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,FC(F)(F)Oc1ccc([*:2])cc1
125,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,Fc1c(F)c(F)c([*:2])c(F)c1F
126,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,CC(=O)c1ccc([*:2])cc1
127,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,Clc1cccc([*:2])c1Cl
128,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,O=C(O)/C=C/c1cccc([*:2])c1
129,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,O=[N+]([O-])/C=C/c1ccc([*:2])cc1
130,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,COc1c(C)cc([*:2])cc1C
131,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,c1cnc2c([*:2])cccc2c1
132,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,OCc1cccc([*:2])c1
133,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,COc1ccc(C(C)C)cc1[*:2]
134,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,c1ccc2c(c1)sc1c([*:2])cccc12
135,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,COc1ccc([*:2])c(OC)c1OC
136,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,COc1ccc(Cl)cc1[*:2]
137,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,N#Cc1cccc([*:2])c1
138,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,CC(=O)c1ccccc1[*:2]
139,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,NCc1ccc([*:2])cc1
140,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,COC(=O)c1ccc([*:2])cc1
141,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,c1ccc(COc2cccc([*:2])c2)cc1
142,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,Fc1cc([*:2])cc(F)c1F
143,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,Cc1cc(F)ccc1[*:2]
144,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,O=Cc1cc([*:2])ccc1F
145,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],[H][*:1].c1ccc(CSC[*:1])cc1,COc1cccc([*:2])c1F
