,Core,Atag,R1,Btag,R2,pIC50
132,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B33,OCc1cccc([*:2])c1,6.9
133,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B34,COc1ccc(C(C)C)cc1[*:2],4.8
134,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B35,c1ccc2c(c1)sc1c([*:2])cccc12,5.1
135,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B36,COc1ccc([*:2])c(OC)c1OC,4.6
136,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B37,COc1ccc(Cl)cc1[*:2],5
137,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B38,N#Cc1cccc([*:2])c1,5.7
138,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B39,CC(=O)c1ccccc1[*:2],3.8
139,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B40,NCc1ccc([*:2])cc1,Not Made
140,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B41,COC(=O)c1ccc([*:2])cc1,4.9
141,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B42,c1ccc(COc2cccc([*:2])c2)cc1,Assay Failed
142,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B43,Fc1cc([*:2])cc(F)c1F,6.6
143,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B44,Cc1cc(F)ccc1[*:2],5.3
144,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B45,O=Cc1cc([*:2])ccc1F,Not Made
145,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B46,COc1cccc([*:2])c1F,4.8
146,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B47,CCOC(=O)c1cccc([*:2])c1,4.9
147,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B48,Cc1ccc([*:2])cc1F,6.5
148,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B49,COc1c(F)cc(F)cc1[*:2],4.5
149,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A03,[H][*:1].c1ccc(CSC[*:1])cc1,B50,Cc1ccc(F)c([*:2])c1Cl,Not Made
150,O=C(O)C(NS(=O)(=O)c1ccc([*:2])cc1)[*:1],A04,CC(C)C[*:1].[H][*:1],B01,c1ccc([*:2])cc1,6.6
